Jméno Zaměstnance,Role / Profese,Pracoviště / Blok,Kontakt Mobil,Kontakt Email
Jana Říhová,Instrumentářka - neurochirurgie,OS 3 (Neurochirurgie),+444 780 444 555,jana.rihova@fnusa.cz
MUDr. Lukáš Fiala,Neurochirurg (operatér),OS 3 (Neurochirurgie),+444 780 666 777,lukas.fiala@fnusa.cz
Eliška Soukupová,Perioperační sestra (obíhající),Dětský operační sál,+444 780 888 999,eliska.soukupova@fnusa.cz
MUDr. Václav Černý,Anesteziolog,Hlavní operační sály,+444 781 111 222,vaclav.cerny@fnusa.cz
Marcela Pekařová,Instrumentářka - ORL,ORL operační sál,+444 781 333 444,marcela.pekarova@fnusa.cz
MUDr. Kryštof Liška,Lékař - Supervizor OS,Centrální operační trakt,+444 781 555 666,krystof.liska@fnusa.cz
Věra Doležalová,Recepční / Administrativa OS,Administrativní zázemí OS,+444 781 777 888,vera.dolezalova@fnusa.cz
MUDr. Petr Kohoutek,Gynekolog (operatér),OS 2 (Gynekologie),+444 781 999 000,petr.kohoutek@fnusa.cz
Soňa Mrázková,Instrumentářka - laparoskopie,OS 4 (Všeobecná chirurgie),+444 781 000 111,sona.mrazkova@fnusa.cz
Jaroslav Hladík,Technik JIP ARO,Technické zázemí JIP,+444 781 222 333,jaroslav.hladik@fnusa.cz
MUDr. Eva Svatošová,Anesteziolog - regionální anestezie,Hlavní operační sály,+444 781 444 555,eva.svatosova@fnusa.cz
MUDr. Robin Zeman,Anesteziolog - Vedoucí služby,Pooperační JIP ARO,+444 781 666 777,robin.zeman@fnusa.cz
Adéla Vlčková,Instrumentářka - Urologie,Urologický operační sál,+444 781 888 999,adela.vlckova@fnusa.cz
